"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
935,"NCT03289143","A Study to Evaluate the Efficacy and Safety of RO7105705 in Patients With Prodromal to Mild Alzheimer's Disease",,"Recruiting","No Results Available","Alzheimer's Disease","Drug: RO7105705|Drug: Placebo|Drug: [18F]GTP1","Change from baseline on the CDR-Sum of Boxes|Nature, frequency, severity, and timing of adverse events and serious adverse events|Change from baseline on the Repeatable Battery for Assessment of Neuropsychological Status (RBANS)|Change from baseline on the Alzheimer's Disease Assessment Scale−Cognitive Subscale 13|Change from baseline on the Amsterdam Instrumental Activity of Daily Living questionnaire|Change from baseline on the Alzheimer's Disease Cooperative Study Group−Activities of Daily Living Inventory|Serum concentrations of RO7105705 at specified timepoints|Presence of anti-drug antibodies during the study relative to their presence at baseline","Genentech, Inc.","All","50 Years to 80 Years   (Adult, Older Adult)","Phase 2","360","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","GN39763|2017-001800-31","October 4, 2017","September 30, 2020","September 20, 2022","September 20, 2017","null","August 21, 2018","University of Alabama at Birmingham, Birmingham, Alabama, United States|California Clinical Trials, Glendale, California, United States|Institute for Memory Impairments, Irvine, California, United States|Pharmacology Research Inst, Newport Beach, California, United States|Pacific Neuroscience Med Grp, Oxnard, California, United States|Stanford Neuroscience Health Center (SNHC), Palo Alto, California, United States|Pacific Research Network - PRN, San Diego, California, United States|UCSF Medical Center, San Francisco, California, United States|Neurological Research Inst, Santa Monica, California, United States|Collaborative Neuroscience Network Inc., Torrance, California, United States|Molecular NeuroImaging, New Haven, Connecticut, United States|Yale University, New Haven, Connecticut, United States|KI Health Partners, LLC; New England Institute for Clinical Research, Stamford, Connecticut, United States|Georgetown University Hospital, Washington, District of Columbia, United States|JEM Research LLC, Atlantis, Florida, United States|Florida Atlantic University; College of Medicine, Boca Raton, Florida, United States|Bradenton Research Center, Bradenton, Florida, United States|Brain Matters Research, Inc., Delray Beach, Florida, United States|Neuropsychiatric Research; Center of Southwest Florida, Fort Myers, Florida, United States|Alzheimer's Research and Treatment Center, Lake Worth, Florida, United States|Miami Jewish Health Systems, Miami, Florida, United States|Collier Neurologic Specialists, Naples, Florida, United States|Compass Research East, LLC, Orlando, Florida, United States|Stedman Clinical Trials, LLC, Tampa, Florida, United States|Premiere Research Institute, West Palm Beach, Florida, United States|Emory University; Global Health, Atlanta, Georgia, United States|Rush Alzheimer's Disease Cntr., Chicago, Illinois, United States|Alexian Brothers Neuroscience Institute, Elk Grove Village, Illinois, United States|Southern Illinois University, School of Medicine, Springfield, Illinois, United States|Eastern Maine Medical Center, Bangor, Maine, United States|Brigham & Women's Hosp; TIMI Study Grp, Boston, Massachusetts, United States|Alzheimers Disease Center, Quincy, Massachusetts, United States|Health Partners Institute for Education and Research, Saint Paul, Minnesota, United States|NeuroCognitive Institute, Mount Arlington, New Jersey, United States|Advanced Memory Research Institute of NJ, Toms River, New Jersey, United States|Albany Medical College; Neurology, Albany, New York, United States|Empire Neurology PC; MS Center of Northeastern NY, Latham, New York, United States|Columbia Univ Medical Center, New York, New York, United States|University of Rochester; AD-CARE, Rochester, New York, United States|Summit Research Network Inc., Portland, Oregon, United States|Oregon Health Sciences Uni, Portland, Oregon, United States|Abington Neurological Associates, Willow Grove, Pennsylvania, United States|Rhode Island Mood & Memory Research Institute, East Providence, Rhode Island, United States|Butler Hospital, Providence, Rhode Island, United States|Neurology Clinic PC, Cordova, Tennessee, United States|New Orleans Center For Clinical Research, Knoxville, Tennessee, United States|Clinical Neuroscience Research Associates, Inc., Bennington, Vermont, United States|St Vincents Medical Centre, Darlinghurst, New South Wales, Australia|Southern Neurology, Kogarah, New South Wales, Australia|Queensland University of Technology, Mermaid Waters, Queensland, Australia|Box Hill Hospital; Department of Neurology, Box Hill, Victoria, Australia|HammondCare Aged Psychiatry Clinical Trials, Malvern, Victoria, Australia|The Alfred Hospital, Melbourne; Thrombosis and Haemostasis Unit, Melbourne, Victoria, Australia|Neuro Trials Victoria, Noble Park, Victoria, Australia|Royal Melbourne Hospital, Parkville, Victoria, Australia|AZ Sint Jan, Brugge, Belgium|UZ Brussel, Brussel, Belgium|AZ Groeninge, Kortrijk, Belgium|UZ Leuven, Leuven, Belgium|AZ Delta Campus Westlaan, Roeselare, Belgium|Vancouver Island Health Research Centre, Victoria, British Columbia, Canada|True North Clinical Research Kentville, Kentville, Nova Scotia, Canada|JBN Medical Diagnostic Services; Clinical Trials Division, Burlington, Ontario, Canada|Parkwood Institute, Mental Health Care Building, London, Ontario, Canada|Bruyere Continuing Care, Ottawa, Ontario, Canada|Toronto Memory Program (Neurology Research Inc.), Toronto, Ontario, Canada|The Centre for Memory and Aging, Toronto, Ontario, Canada|Toronto Sunnybrook Hospital, Toronto, Ontario, Canada|Toronto Western Hospital, Toronto, Ontario, Canada|Recherches Neuro-Hippocame, Gatineau, Quebec, Canada|Neuro Rive-Sud, Greenfield Park, Quebec, Canada|Institut Universitaire de gériatrie de Sherbrooke, Sherbrooke, Quebec, Canada|Center For Clinical and Basic Research (Ccbr); Site Management Organisation, Aalborg, Denmark|CCBR - Ballerup - DK, Ballerup, Denmark|CCBR - Vejle - DK, Vejle, Denmark|University of Eastern Finland, Kuopio, Finland|Groupe Hospitalier Pellegrin; Service de Neurologie - 3ème étage, Bordeaux, France|Hopital Neurologique Pierre Wertheimer, Bron, France|Hopital Roger Salengro, Lille, France|CHU de la Timone - Hopital d Adultes; Service de Neurologie, Marseille, France|Hopital Gui de Chauliac; Neurologie, Montpellier, France|Hopital Fernand Widal Centre, Paris, France|Groupe Hospitalier Pitie-Salpetriere, Paris, France|CHU Rennes - Hopital Hôtel Dieu, Rennes, France|CHU Hautepierre; ACTR Association Recherche Clinique Rhumatologie, Strasbourg, France|CHU Strasbourg - Hôpital Hautepierre, Strasbourg, France|Hopital de La Grave, Toulouse, France|Hopital des Charpennes, Villeurbanne, France|Klinikum Bayreuth; Krankenhaus Hohe Warte, Bayreuth, Germany|Praxis Dr. med. Volker Shumann, Berlin, Germany|Studienambulanz emovis GmbH; St. Joseph Krankenhaus, Berlin, Germany|Charite Campus Benjamin Franklin, Berlin, Germany|Neurologisch-psychiatrische Praxis am Brosepark, Berlin, Germany|Bezirkskrankenhaus Günzburg, Günzburg, Germany|Klinische Forschung Hannover-Mitte GmbH, Hannover, Germany|AFL Arzneimittelforschung Leipzig GmbH, Leipzig, Germany|Universitaetsmedizin der Johannes Gutenberg-Universitaet Mainz; Kardiologie, Mainz, Germany|Klinikum rechts der Isar der TU München; Klinik & Poliklinik für Neurologie, München, Germany|Universitätsklinikum Münster, Stabsstelle Apotheke, Münster, Germany|Universitätsklinikum Rostock, Zentrum für Nervenheilkunde; Klinik und Poliklinik für Neurologie, Rostock, Germany|ZNS Siegen im MVZ Weidenau, Siegen, Germany|Universitätsklinik Tübingen; Psychiatrie und Psychotherapie, Tubingen, Germany|Universitätsklinikum Ulm; Klinik für Neurologie, Ulm, Germany|Azienda Ospedaliera Città della Salute e della Scienza di Torino; Radiology, Torino, Abruzzo, Italy|Umberto I Policlinico di Roma-Università di Roma La Sapienza, Roma, Lazio, Italy|Ospedale San Giovanni Calibita Fatebenefratell;Neurologia, Roma, Lazio, Italy|Ente Ospedaliero Ospedali Galliera; Neurologia, Genova, Liguria, Italy|Azienda Ospedaliero Universitaria San Martino; Dip. di Neuroscienze Oftalmologia e Genetica, Genova, Liguria, Italy|Asst Degli Spedali Civili Di Brescia, Brescia, Lombardia, Italy|IRCCS Centro San Giovanni di Dio FBF, Brescia, Lombardia, Italy|Fondazione IRCCS Istituto Neurologico Carlo Besta, Milano, Lombardia, Italy|IRCCS Neuromed; Neurologia I-Centro studio e cura delle demenze e UVA, Pozzilli, Molise, Italy|Az. Osp. C. Panico; Rep. Ematologia E Trapianto, Tricase - LE, Puglia, Italy|A.O. Universitaria Pisana, Pisa, Toscana, Italy|Jeroen Bosch Ziekenhuis, 'S Hertogenbosch, Netherlands|Brain Research Center B.V, Amsterdam, Netherlands|Podlaskie Centrum Psychogeriatrii, Białystok, Poland|PALLMED Sp. z o.o. prowadząca NZOZ DOM SUE RYDER, Bydgoszcz, Poland|NZOZ VITO-MED Sp.z o.o., Gliwice, Poland|M.A. - LEK A.M.Maciejowscy SC., Katowice, Poland|Novo-Med Zielinski i wspolnicy Sp. j., Katowice, Poland|Malopolskie Centrum Medyczne, Krakow, Poland|Samodzielny Publiczny Szpital Kliniczny Nr 4; Klinika Nefrologii, Lublin, Poland|NEURO - KARD Ośrodek Badań Klinicznych, Poznań, Poland|NEURO-CARE Sp. z o.o. Sp. Komandytowa, Siemianowice Śląskie, Poland|Senior Sp. Z O.O. Poradnia Psychogeriatryczna, Sopot, Poland|NZOZ EroMedis, Szczecin, Poland|mMED Maciej Czarnecki, Warszawa, Poland|Optimum, Warszawa, Poland|NZOZ WCA, Wrocław, Poland|Hospital Mutua de Terrassa, Terrassa, Barcelona, Spain|Policlinica Guipuzcoa, San Sebastian, Guipuzcoa, Spain|Clinica Universitaria de Navarra; Servicio de Neurología, Pamplona, Navarra, Spain|Hospital Virgen del Puerto, Plasencia, Palencia, Spain|Hospital de Cruces; Servicio de Neurologia, Barakaldo, Vizcaya, Spain|Hospital Perpetuo Socorro, Servicio de Geriatria, Albacete, Spain|Fundación ACE; Servicio de Neurología, Barcelona, Spain|Hospital Clinic i Provincial de Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario Reina Sofia; Servicio de Neurologia, Cordoba, Spain|Clinica Ruber, 4 planta; Servicio de Neurologia, Madrid, Spain|Hospital Universitario Ramon y Cajal, Madrid, Spain|Hospital de Cantoblanco; Servicio de Geriatria, Madrid, Spain|Hospital Universitario Virgen Macarena, Sevilla, Spain|Hospital Universitario Dr. Peset; Servicio de Neurologia, Valencia, Spain|Hospital Universitari i Politecnic La Fe de Valencia, Valencia, Spain|Länssjukhuset Ryhov, Jönköping, Sweden|Länssjukhuset Kalmar; Oncology, Kalmar, Sweden|Skane University Hospital Malmo/Lund, Dept.of Hematology and Coagulation Disorders, Malmö, Sweden|Sahlgrenska Univ Hospital Mölndal; Department of Nephrology, Mölndal, Sweden|Karolinska Trial Alliance,Karolinska University Hospital, Huddinge M62, Stockholm, Sweden|Karolinska Universitetssjukhuset Huddinge, Stockholm, Sweden|Murray Royal Hospital; Psychiatry of Old Age (POA) Hub, Dundee, United Kingdom|Glasgow Memory Clinic, Glasgow, United Kingdom|Stobhill Hospital; Respiratory Department, Glasgow, United Kingdom|The National Hospital for Neurology & Neurosurgery, London, GT LON, United Kingdom|RE:Cognition Health, London, United Kingdom|Charing Cross Hospital; Dept of Neurosciences, London, United Kingdom|St. George's Park Hospital, Morpeth, United Kingdom|Derriford Hospital; Neurology, Plymouth, United Kingdom|Southampton General Hospital, Southampton, United Kingdom|Re:Cognition Health Guildford, Surrey, United Kingdom|Victoria Centre; Kingshill Research Centre, Swindon, United Kingdom","","https://ClinicalTrials.gov/show/NCT03289143"
936,"NCT02997371","IL-1ra Dose-range Study for Moderate-to-severe TBI Patients","IL1ra","Not yet recruiting","No Results Available","Traumatic Brain INjury","Drug: Anakinra Prefilled Syringe|Drug: Isotonic saline","Decrease of pro-inflammatory cytokines in brain extracellular fluid (ECF)|Patient outcome GOSe|Patient outcome SF36|Imaging outcome - PET-MRI|Imaging outcome - DTI-MRI|Biochemical outcome - S100B|Biochemical outcome - NF-L|Biochemical outcome - Tau|Biochemical outcome - APP|Biochemical outcome - Autoreactivity versus MBP|Monitoring outcome - ICP|Monitoring outcome - CPP|Monitoring outcome - Cerebral Metabolism LPR|Monitoring outcome - Brain tissue oxygenation|Monitoring outcome - PRx|Pharmacological outcome - Concentration of IL1ra in brain tissue|Pharmacological outcome - Concentration of IL1ra in serum|Side effects of the IL1ra","Adel Helmy|Cambridge University Hospitals NHS Foundation Trust|University of Cambridge","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CCTU0185","October 2017","October 2021","October 2021","December 20, 2016","null","May 8, 2017","Cambridge University Hospital NHS Trust, Cambridge, Cambridgeshire, United Kingdom","","https://ClinicalTrials.gov/show/NCT02997371"
937,"NCT01806675","18F FPPRGD2 PET/CT or PET/MRI in Predicting Early Response in Patients With Cancer Receiving Anti-Angiogenesis Therapy",,"Active, not recruiting","No Results Available","Adult Giant Cell Glioblastoma|Adult Glioblastoma|Adult Gliosarcoma|Male Breast Cancer|Metastatic Squamous Neck Cancer With Occult Primary Squamous Cell Carcinoma|Recurrent Adenoid Cystic Carcinoma of the Oral Cavity|Recurrent Adult Brain Tumor|Recurrent Basal Cell Carcinoma of the Lip|Recurrent Breast Cancer|Recurrent Colon Cancer|Recurrent Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity|Recurrent Hypopharyngeal Cancer|Recurrent Inverted Papilloma of the Paranasal Sinus and Nasal Cavity|Recurrent Laryngeal Cancer|Recurrent Lip and Oral Cavity Cancer|Recurrent Lymphoepithelioma of the Nasopharynx|Recurrent Lymphoepithelioma of the Oropharynx|Recurrent Metastatic Squamous Neck Cancer With Occult Primary|Recurrent Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity|Recurrent Mucoepidermoid Carcinoma of the Oral Cavity|Recurrent Nasopharyngeal Cancer|Recurrent Non-small Cell Lung Cancer|Recurrent Oropharyngeal Cancer|Recurrent Pancreatic Cancer|Recurrent Paranasal Sinus and Nasal Cavity Cancer|Recurrent Rectal Cancer|Recurrent Renal Cell Cancer|Recurrent Salivary Gland Cancer|Stage IIIA Breast Cancer|Stage IIIA Non-small Cell Lung Cancer|Stage IIIB Breast Cancer|Stage IIIB Non-small Cell Lung Cancer|Stage IIIC Breast Cancer|Stage IV Breast Cancer|Stage IV Non-small Cell Lung Cancer|Stage IV Pancreatic Cancer|Stage IV Renal Cell Cancer|Stage IVA Colon Cancer|Stage IVA Rectal Cancer|Stage IVA Salivary Gland Cancer|Stage IVB Colon Cancer|Stage IVB Salivary Gland Cancer|Stage IVC Salivary Gland Cancer|Tongue Cancer|Unspecified Adult Solid Tumor, Protocol Specific","Drug: fludeoxyglucose F 18|Drug: 2-fluoropropionyl-labeled pegylated dimeric RGD peptide|Diagnostic Test: positron emission tomography|Diagnostic Test: computed tomography|Other: laboratory biomarker analysis","Change in maximum standard uptake values (SUVmax) on 18F FPPRGD2 and 18F FDG PET|Progression-free survival","Sanjiv Sam Gambhir|National Cancer Institute (NCI)|Stanford University","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","25","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","VARIMG0002|NCI-2013-00535","March 2013","December 7, 2016","March 2019","March 7, 2013","null","June 5, 2018","Stanford University, School of Medicine, Stanford, California, United States","","https://ClinicalTrials.gov/show/NCT01806675"
938,"NCT01287936","A Study of Modified Stem Cells in Stable Ischemic Stroke",,"Completed","No Results Available","Chronic Ischemic Stroke","Biological: SB623","Safety|Improvement in stroke symptoms and brain metabolism","SanBio, Inc.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1|Phase 2","18","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SB-STR01","January 2011","August 2015","August 2015","February 2, 2011","null","December 21, 2016","University of Alabama, Birmingham, Alabama, United States|Stanford University School of Medicine, Stanford, California, United States|Emory University, Atlanta, Georgia, United States|Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States","","https://ClinicalTrials.gov/show/NCT01287936"
939,"NCT00755963","Effects of Hormone Replacement Therapy on the Serotonergic System and Mood in Postmenopausal Women",,"Completed","No Results Available","Hormone Replacement","Drug: estradiol valerate|Drug: micronized progesterone|Drug: placebo","Serotonin-1A receptor binding potential","Medical University of Vienna","Female","50 Years to 65 Years   (Adult, Older Adult)","Phase 4","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Basic Science","PM-20070724|EudraCT: 2007-005685-12|EC 593/2007","May 2009","July 2011","July 2011","September 19, 2008","null","July 22, 2011","Medical University of Vienna, Dept. of Psychiatry and Psychotherapy, Vienna, Austria","","https://ClinicalTrials.gov/show/NCT00755963"
940,"NCT01528436","Umbilical Cord Blood Therapy for Cerebral Palsy",,"Completed","No Results Available","Cerebral Palsy","Biological: Umbilical Cord Blood Infusion|Other: Placebo Umbilical Cord Blood|Other: Active Rehabilitation","Changes in Motor Performance|Changes in Standardized Gross Motor Function|Changes in Cognitive Neurodevelopmental Outcome|Changes in Motor Neurodevelopmental Outcome|Changes in Functional Independence in Daily Activities|Changes in Visual Perception Test|Changes in Muscle Strength|Changes in Functional Performance in Daily Activities|Changes in Brain Glucose Metabolism Using by Brain 18F-FDG PET","MinYoung Kim, M.D.|Bundang CHA Hospital","All","6 Months to 20 Years   (Child, Adult)","Phase 2","37","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CPUCBRCT","February 2012","July 2012","July 2012","February 8, 2012","null","July 18, 2012","CHA Bundang Medical Center, CHA University, Seongnam-si, Gyeonggi-do, Korea, Republic of","","https://ClinicalTrials.gov/show/NCT01528436"
941,"NCT01082926","Phase I Study of Cellular Immunotherapy for Recurrent/Refractory Malignant Glioma Using Intratumoral Infusions of GRm13Z40-2, An Allogeneic CD8+ Cytolitic T-Cell Line Genetically Modified to Express the IL 13-Zetakine and HyTK and to be Resistant to Glucocorticoids, in Combination With Interleukin-2",,"Completed","No Results Available","Anaplastic Astrocytoma|Anaplastic Ependymoma|Anaplastic Meningioma|Anaplastic Oligodendroglioma|Brain Stem Glioma|Ependymoblastoma|Giant Cell Glioblastoma|Glioblastoma|Gliosarcoma|Grade III Meningioma|Meningeal Hemangiopericytoma|Mixed Glioma|Pineal Gland Astrocytoma|Brain Tumor","Biological: therapeutic allogeneic lymphocytes|Biological: aldesleukin|Other: laboratory biomarker analysis|Procedure: positron emission tomography","Safety of GRm13Z40-2 CTL CNS loco-regional cellular immunotherapy|Safety of convection enhanced delivery (CED) of recombinant human Interleukin-2 (rhuIL-2) used in conjunction with GRm13Z40-2 CTL adoptive transfer|Toxicity as assessed by NCI CTCAE version 4.0|Ability of 9-(4-fluoro-3-hydroxy-methyl-butyl) guanine (18FHBG) positron emission tomography PET to image GRm13Z40-2 CTLs|Impact of concurrent dexamethasone on the tempo and magnitude of T cell allograft rejection responses by tracking the frequency of anti-GRm13Z40-2 immune responses in serially acquired peripheral blood samples|Evaluation of ganciclovir administration for ablating transferred GRm13Z40-2 in vivo should significant graft-mediated toxicities be encountered","City of Hope Medical Center","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","6","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","07082|NCI-2010-00303","May 2010","September 2013","September 2013","March 9, 2010","null","June 8, 2015","City of Hope, Duarte, California, United States","","https://ClinicalTrials.gov/show/NCT01082926"
942,"NCT03290040","Identification of Predictors for Early Cognitive Decline in Men",,"Recruiting","No Results Available","Healthy Test Persons","","Gamma band EEG power during evoked potentials correlates to cognitive decline|Alpha band EEG-power during evoked potentials correlates to cognitive decline|Examination of how visual attention effects cognitive deterioration.|Clarification of how processing speed (ms), short term memory and visual perceptive threshold effect cognitive capacity.|Changes in mitochondrial respiration as predictor of cognitive impairment|Microstructural parameters, derived from diffusion tensor imaging as predictor of cognitive impairment|Correlation between basal ganglia volumes and structure and cognitive functions|Correlation between patterns of brain perfusion and patterns of cognitive function|Correlation between Subjective sleep quality and patterns of cognitive function|Objective sleep measures: Sleep stages as determined by standard international scoring and quantitated measures using - spectral analysis from sleep EEG in relation to cognitive impairment|Effects of demographic, social and health predictors on change in cognitive function from young adulthood to late midlife|Correlation between daytime sleepiness and patterns of cognitive function|Gamma band EEG power distribution across the scalp during simultaneous auditory and visual stimulation correlates to cognitive decline|Change of source location of gamma band EEG power of visual evoked potentials correlates to cognitive decline|The investigators would like to describe how visual attention correlates with the background EEG recorded before the examination.|Change in levels of reactive oxygen species in PBMCs quantified by flow cytometry after application of dedicated fluorophores as predictor of cognitive impairment|Change in levels of mitochondrial bioenergetics in PBMCs using the Seahorse XF24 extracellular flux analyser as predictor of cognitive impairment|Change of levels of whole cell dNTP levels in PBMCs using polymerase extension assay and by quantification of tritiated nucleotides by scintillation counting as predictor of cognitive impairment|Change of mutation frequency of mitochondrial DNA using deep sequencing as predictor of cognitive impairment|Change of mtDNA copy number by qPCR as predictor of cognitive impairment|Correlation between regional cortical thickness and cognitive parameters|Correlation between regional cortical surface and cognitive parameters|Correlation between macrostructural parameters and candidate genes|Correlation between microstructural parameters and candidate genes|Correlation between macrostructural parameters and cognition|Correlation between microstructural parameters and cognition|Correlation between cognition and candidate genes|Correlation between sleep stages and microstructural parameters.|Correlation between sleep stages and regional volumes.|Autonomic activity as measured by electrocardiography determined from the polysomnography during wakefulness and sleep in relation to cognitive impairment|Presence of REM Sleep muscle activity (REM sleep without atonia (RSWA), REM Behavior disorder(RBD)) in relation to cognitive impairment|Cognitive correlates of cognitive change","Rigshospitalet, Denmark|University of Copenhagen|Center for Healthy Aging, University of Copenhagen","Male","60 Years and older   (Adult, Older Adult)","","350","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","H-1-2014-032","January 2015","December 2018","February 2030","September 21, 2017","null","September 25, 2017","Dept. of Clinical Neurophysiology, Department of Clinical Biochemistry and Department of Clinical Physiology, Nuclear Medicine and PET, Rigshospitalet - Glostrup, Glostrup, Denmark","","https://ClinicalTrials.gov/show/NCT03290040"
943,"NCT03056170","Neurophysiological Impact of a Fronto-temporal tDCS Stimulation in Healthy Subjects: a Multimodal Imaging Approach","COMBI-STIM","Completed","No Results Available","Healthy","Device: real tDCS","Change in dopamine transmission induced by 1 session of 30min tDCS|Change in spontaneous functional connectivity (using rs fMRI) during and after 1 session of 30min tDCS|Change in cerebral blood flow (using ASL) during and after 1 session of 30min tDCS|Change in structural connectivity (using DTI) after 1 session of 30min tDCS","Hospices Civils de Lyon","All","18 Years to 45 Years   (Adult)","Not Applicable","37","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","69HCL16_0682","November 13, 2015","April 19, 2017","June 20, 2017","February 17, 2017","null","July 11, 2017","Le Vinatier, Bron, France","","https://ClinicalTrials.gov/show/NCT03056170"
944,"NCT02069080","Imaging CXCR4 Expression in Subjects With Cancer Using 64 Cu-Plerixafor",,"Terminated","No Results Available","Cancer","Drug: 64-Cu-plerixafor","Uptake of 64Cu-plerixafor in the target lesion(s) of subjects expressing CXCR4 versus the uptake of 64Cu-plerixafor in the surrounding non-tumor tissues.|64Cu-plerixafor SUV in the target lesion(s) versus the level of CXCR4 expression detected via immunohistochemical staining.|Human-absorbed doses of 64Cu-plerixafor|The incidence and severity of adverse events (AEs) by dose group.","National Institute of Allergy and Infectious Diseases (NIAID)|Lombardi Comprehensive Cancer Center|National Institutes of Health Clinical Center (CC)","All","18 Years to 99 Years   (Adult, Older Adult)","Early Phase 1","2","NIH|Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","140050|14-I-0050","February 20, 2014","July 10, 2018","July 10, 2018","February 21, 2014","null","July 12, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT02069080"
945,"NCT03174938","The Swedish BioFINDER 2 Study","BioFINDER2","Recruiting","No Results Available","Dementia|Alzheimer Disease|Parkinson Disease|Lewy Body Disease|Parkinson-Dementia Syndrome|Frontotemporal Degeneration|Semantic Dementia|Progressive Nonfluent Aphasia|Progressive Supranuclear Palsy|Corticobasal Degeneration|Multiple System Atrophy|Mild Cognitive Impairment","Diagnostic Test: Flutemetamol F18 Injection|Diagnostic Test: [18F]-RO6958948|Diagnostic Test: Elecsys (Roche) Abeta42, Ttau and Ptau|Diagnostic Test: Lumipulse (Fujirebio) Abeta42, Ttau and Ptau","Clinical diagnosis|Clinical Dementia Rating-Sum of Boxes (CDR-SB)|Rate of cognitive decline as measured by MMSE.|Rate of cognitive decline as measured in ADL-function.|Rate of volume change of structural MRI measures and amyloid PET|Rates of change on cerebrospinal fluid AD biomarkers","Skane University Hospital|Lund University","All","20 Years to 100 Years   (Adult, Older Adult)","Not Applicable","1505","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","BioFINDER 2","May 15, 2017","December 31, 2028","December 31, 2028","June 5, 2017","null","April 17, 2018","Memory Clinic, Skåne University Hospital, Malmö, Sweden|Memory Clinic, Hospital of Ängelholm, Ängelholm, Sweden","","https://ClinicalTrials.gov/show/NCT03174938"
946,"NCT03644043","Evidence Amyloid Scan EEG Study","EASES","Recruiting","No Results Available","Alzheimer Disease|Dementia Frontal|Mild Cognitive Impairment","Device: EEG scan","Patient meeting Appropriate Use Criteria (AUC) with EEG brain scan - P300 and P50 will be measured for correlation between P300 and P50 with amyloid deposition.","Metabolic Therapy Inc.|Institute of Asian American Adult Development","All","60 Years and older   (Adult, Older Adult)","","2000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","1R02TCR0072518","July 20, 2018","November 15, 2020","November 30, 2020","August 23, 2018","null","August 23, 2018","Translational Cognitive Research, Houston, Texas, United States","","https://ClinicalTrials.gov/show/NCT03644043"
947,"NCT00942981","Functional Relevance of Dopamine Receptors in Healthy Controls and Patients With Schizophrenia: Characterization Through [11C]NNC-112 and [18F]Fallypride Positron Emission Tomography",,"Recruiting","No Results Available","Schizoaffective Disorder|Schizophrenia","","Regional binding potentials of [11C]NNC-112 and [18F]Fallypride","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 90 Years   (Adult, Older Adult)","","330","NIH","Observational","Time Perspective: Other","090176|09-M-0176","July 17, 2009","null","null","July 21, 2009","null","July 13, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00942981"
948,"NCT01756352","FET-PET for Evaluation of Response of Recurrent GBM to Avastin",,"Active, not recruiting","No Results Available","Glioblastoma Multiforme|GBM","Drug: 18F-FET","Change in FET uptake between baseline and follow-upm, relative to survival and progression on MRI","Marcelo F. Di Carli, MD, FACC|Brigham and Women's Hospital","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","2012P002678","February 2013","August 2018","August 2018","December 25, 2012","null","August 29, 2017","Brigham and Women's Hospital, Boston, Massachusetts, United States","","https://ClinicalTrials.gov/show/NCT01756352"
